TR - 79/190 C,A. Niemeyer,Aliado,Cortesano,Naturaleza
DGO-140-200,Abigail Williams,Aliado,Vasallo,Héroe
PI - 184/240,Abraham Blauvelt,Aliado,Vasallo,Héroe
BA - 12/260,Aetius,Aliado,Real,Héroe
159,Agammenon,Aliado,Vasallo,Héroe
KEL-107-200,Aífe,Aliado,Cortesano,Héroe
151,Ajáx,Aliado,Vasallo,Héroe
IM - 196/238,Ájax,Aliado,Vasallo,Héroe
TI2-43-60,Alan-a-Dale,Aliado,Cortesano,Héroe
TR - 11/190 R,Alberto I,Aliado,Real,Divinidad
CO - 7/128,Alejandro Magno,Aliado,Real,Héroe
22,Alejandro Magno,Aliado,Real,Héroe
IV - 193/240,Alejandro y Antigono de Esparta,Aliado,Vasallo,Héroe
PI - 111/240,Alexander Exquemelin,Aliado,Cortesano,Héroe
SPK-03-71,Allan Quatermain,Aliado,Real,Héroe
TEM-079-128,Alyosha Popovich,Aliado,Cortesano,Héroe
CID-016-215,Amadis de Gaula,Aliado,Mega Real,Héroe
CR-117,Amanirenas,Aliado,Héroe,Reprint
94,Amazonas Guerreras,Aliado,Cortesano,Héroe
KEM-130-231,Amosis II,Aliado,Cortesano,Héroe
160,Anceo,Aliado,Vasallo,Héroe
ACR-154-225,Andrew de Moray,Aliado,Vasallo,Héroe
TAS-107-200,Anganamón,Aliado,Cortesano,Héroe
RA - 115/260,Angantyr,Aliado,Cortesano,Héroe
EDICIÓN ANIVERSARIO - 9/18,Aníbal,Aliado,Héroe,Carlos Herrera
DGO-142-200,"Ann Putman, JR.",Aliado,Vasallo,Héroe
PI - 39/240,Anne Bonny,Aliado,Real,Héroe
BA - 93/260,Anthemius,Aliado,Cortesano,Héroe
VE - 122/180,Aonikenk,Aliado,Vasallo,Héroe
TAS-047-200,Aónikenk,Aliado,Real,Héroe
IV - 40/240,Aquiles,Aliado,Real,Héroe
27,Aquiles,Aliado,Real,Héroe
IV - 3/240 SP,Aquiles - SP,Aliado,Real SP,Héroe
